date,PCCF hospitalizations per day,PHE actual hospitalizations per day,21st June,28th June,5th July,12th July,19th July,23rd August
6/12/2021,,,98.381,113.37,116.58,,,
6/13/2021,,,98.381,122.83,120.758,,,
6/14/2021,,,98.381,132.291,124.935,,,
6/15/2021,,,98.381,141.751,129.112,,,
6/16/2021,,,108.018,151.211,137.518,,,
6/17/2021,,,124.727,160.671,150.05,,,
6/18/2021,,,141.436,175.609,162.582,,,
6/19/2021,,,158.144,193.478,175.113,,,
6/20/2021,,,177.064,211.347,188.578,,,
6/21/2021,,,197.167,230.199,202.716,,,
6/22/2021,,,217.27,250.302,216.855,,,
6/23/2021,,,237.373,270.405,230.993,,,
6/24/2021,,,257.475,290.507,245.131,,,
6/25/2021,,,277.578,310.61,273.002,,,
6/26/2021,,,306.878,330.713,301.721,,,
6/27/2021,,,336.745,360.539,330.439,,,
6/28/2021,,,366.612,393.957,359.157,,,
6/29/2021,,,400.034,427.375,386.842,,,
6/30/2021,,,439.419,460.792,413.994,,,
7/1/2021,,,478.804,487.859,441.146,,,
7/2/2021,,,531.982,513.386,468.297,,,
7/3/2021,,,587.121,538.913,513.005,,,
7/4/2021,,,642.26,571.601,564.059,,,
7/5/2021,,,697.399,609.196,615.114,,,
7/6/2021,,,752.538,646.791,652.822,,,
7/7/2021,,,832.044,684.385,678.35,,,
7/8/2021,,,933.788,819.651,703.877,,,
7/9/2021,,,1035.002,937.555,732.51,,,
7/10/2021,,,1115.413,1011.074,768.016,,,
7/11/2021,,,1188.961,1078.187,803.522,,,
7/12/2021,,,1257.884,1143.828,839.029,,,
7/13/2021,,,1341.756,1201.19,885.214,,,
7/14/2021,,,1427.858,1240.575,948.394,,,
7/15/2021,,,1473.808,1279.96,995.059,,,
7/16/2021,,,1519.757,1368.531,1041.008,,,
7/17/2021,,,1558.9,1401.084,1076.226,,,
7/18/2021,,,1565.792,1410.93,1109.046,,,
7/19/2021,,,1572.684,1415.465,1142.392,,,
7/20/2021,,,1579.577,1403.978,1176.854,,,
7/21/2021,,,1573.015,1392.491,1211.315,,,
7/22/2021,,,1557.698,1382.513,1228.791,,,
7/23/2021,,,1542.382,1374.855,1226.703,,,
7/24/2021,,,1527.066,1367.197,1224.614,,,
7/25/2021,,,1510.51,1357.791,1222.525,,,
7/26/2021,,,1491.364,1340.56,1211.925,,,
7/27/2021,,,1467.325,1323.329,1194.055,,,
7/28/2021,,,1421.376,1301.391,1176.186,,,
7/29/2021,,,1372.812,1269.801,1157.719,,,
7/30/2021,,,1320.299,1238.211,1138.027,,,
7/31/2021,,,1267.785,1188.961,1118.334,,,
8/1/2021,,,1219.114,1120.037,1084.002,,,
8/2/2021,,,1170.867,1057.443,1046.668,,,
8/3/2021,,,1122.62,997.709,1009.334,,,
8/4/2021,,,1047.172,940.053,967.333,,,
8/5/2021,,,932.998,896.868,925.213,,,
8/6/2021,,,864.075,869.299,833.079,,,
8/7/2021,,,795.151,827.003,806.822,,,
8/8/2021,,,732.066,778.182,780.565,,,
8/9/2021,,,677.501,729.361,736.332,,,
8/10/2021,,,622.936,670.109,681.193,,,
8/11/2021,,,576.296,608.843,633.756,,,
8/12/2021,,,536.09,555.967,587.807,,,
8/13/2021,,,495.885,506.735,540.555,,,
8/14/2021,,,464.906,460.27,490.777,,,
8/15/2021,,,437.935,424.924,443.477,,,
8/16/2021,,,410.965,389.579,406.143,,,
8/17/2021,,,383.995,354.233,368.809,,,
8/18/2021,,,357.025,318.887,339.247,,,
8/19/2021,,,330.055,290.472,324.477,,,
8/20/2021,,,303.084,267.497,309.708,,,
8/21/2021,,,276.114,244.522,294.939,,,
8/22/2021,,,254.1,225.316,280.169,,,
8/23/2021,,,237.252,213.153,265.209,,,
8/24/2021,,,220.404,200.99,249.893,,,
8/25/2021,,,203.556,188.827,234.576,,,
8/26/2021,,,186.708,176.664,219.609,,,
8/27/2021,,,170.751,164.501,206.846,,,
8/28/2021,,,160.412,153.707,194.082,,,
8/29/2021,,,150.074,146.397,181.318,,,
8/30/2021,,,139.735,139.087,170.702,,,
8/31/2021,,,129.397,131.777,160.259,,,
9/1/2021,,,119.058,124.467,149.816,,,
9/2/2021,,,108.72,117.157,139.373,,,
9/3/2021,,,98.381,109.847,135.065,,,
9/4/2021,,,91.029,102.536,130.758,,,
9/5/2021,,,83.677,97.531,126.45,,,
9/6/2021,,,76.325,95.562,122.142,,,
