,date,PHE actual hospitalizations per day,21st June,28th June,5th July,12th July,19th July,23rd August
0,12/15/2020,1730,,,,,,
1,12/16/2020,1796,,,,,,
2,12/17/2020,1873,,,,,,
3,12/18/2020,1672,,,,,,
4,12/19/2020,1812,,,,,,
5,12/20/2020,1976,,,,,,
6,12/21/2020,2115,,,,,,
7,12/22/2020,2203,,,,,,
8,12/23/2020,1980,,,,,,
9,12/24/2020,1795,,,,,,
10,12/25/2020,1952,,,,,,
11,12/26/2020,2298,,,,,,
12,12/27/2020,2572,,,,,,
13,12/28/2020,2795,,,,,,
14,12/29/2020,2886,,,,,,
15,12/30/2020,2861,,,,,,
16,12/31/2020,2536,,,,,,
17,1/1/2021,3010,,,,,,
18,1/2/2021,3145,,,,,,
19,1/3/2021,3351,,,,,,
20,1/4/2021,3587,,,,,,
21,1/5/2021,3697,,,,,,
22,1/6/2021,3967,,,,,,
23,1/7/2021,3849,,,,,,
24,1/8/2021,3549,,,,,,
25,1/9/2021,3718,,,,,,
26,1/10/2021,3571,,,,,,
27,1/11/2021,3894,,,,,,
28,1/12/2021,4134,,,,,,
29,1/13/2021,3840,,,,,,
30,1/14/2021,3678,,,,,,
31,1/15/2021,3295,,,,,,
32,1/16/2021,3569,,,,,,
33,1/17/2021,3424,,,,,,
34,1/18/2021,3711,,,,,,
35,1/19/2021,3768,,,,,,
36,1/20/2021,3679,,,,,,
37,1/21/2021,3237,,,,,,
38,1/22/2021,3016,,,,,,
39,1/23/2021,2780,,,,,,
40,1/24/2021,2824,,,,,,
41,1/25/2021,2648,,,,,,
42,1/26/2021,2799,,,,,,
43,1/27/2021,2742,,,,,,
44,1/28/2021,2719,,,,,,
45,1/29/2021,2379,,,,,,
46,1/30/2021,2193,,,,,,
47,1/31/2021,2183,,,,,,
48,2/1/2021,2347,,,,,,
49,2/2/2021,2222,,,,,,
50,2/3/2021,2096,,,,,,
51,2/4/2021,1907,,,,,,
52,2/5/2021,1757,,,,,,
53,2/6/2021,1679,,,,,,
54,2/7/2021,1675,,,,,,
55,2/8/2021,1739,,,,,,
56,2/9/2021,1531,,,,,,
57,2/10/2021,1535,,,,,,
58,2/11/2021,1440,,,,,,
59,2/12/2021,1318,,,,,,
60,2/13/2021,1240,,,,,,
61,2/14/2021,1364,,,,,,
62,2/15/2021,1322,,,,,,
63,2/16/2021,1311,,,,,,
64,2/17/2021,1233,,,,,,
65,2/18/2021,1149,,,,,,
66,2/19/2021,1068,,,,,,
67,2/20/2021,904,,,,,,
68,2/21/2021,1009,,,,,,
69,2/22/2021,980,,,,,,
70,2/23/2021,976,,,,,,
71,2/24/2021,874,,,,,,
72,2/25/2021,832,,,,,,
73,2/26/2021,718,,,,,,
74,2/27/2021,624,,,,,,
75,2/28/2021,662,,,,,,
76,3/1/2021,704,,,,,,
77,3/2/2021,683,,,,,,
78,3/3/2021,607,,,,,,
79,3/4/2021,596,,,,,,
80,3/5/2021,487,,,,,,
81,3/6/2021,528,,,,,,
82,3/7/2021,461,,,,,,
83,3/8/2021,501,,,,,,
84,3/9/2021,483,,,,,,
85,3/10/2021,494,,,,,,
86,3/11/2021,449,,,,,,
87,3/12/2021,386,,,,,,
88,3/13/2021,385,,,,,,
89,3/14/2021,357,,,,,,
90,3/15/2021,431,,,,,,
91,3/16/2021,364,,,,,,
92,3/17/2021,343,,,,,,
93,3/18/2021,351,,,,,,
94,3/19/2021,283,,,,,,
95,3/20/2021,287,,,,,,
96,3/21/2021,279,,,,,,
97,3/22/2021,294,,,,,,
98,3/23/2021,295,,,,,,
99,3/24/2021,277,,,,,,
100,3/25/2021,288,,,,,,
101,3/26/2021,245,,,,,,
102,3/27/2021,217,,,,,,
103,3/28/2021,221,,,,,,
104,3/29/2021,206,,,,,,
105,3/30/2021,217,,,,,,
106,3/31/2021,225,,,,,,
107,4/1/2021,180,,,,,,
