,date,PCCF hospitalizations per day,PHE actual hospitalizations per day,21st June,28th June,5th July,12th July,19th July,23rd August,PCCF modelled hospitalisations
0,12/15/2020,1831,1730,,,,,,,
4,12/16/2020,1845,1796,,,,,,,
8,12/17/2020,1866,1873,,,,,,,
12,12/18/2020,1909,1672,,,,,,,
16,12/19/2020,1956,1812,,,,,,,
20,12/20/2020,2009,1976,,,,,,,
24,12/21/2020,2061,2115,,,,,,,
28,12/22/2020,2121,2203,,,,,,,
32,12/23/2020,2179,1980,,,,,,,
36,12/24/2020,2240,1795,,,,,,,
40,12/25/2020,2288,1952,,,,,,,
44,12/26/2020,2339,2298,,,,,,,
48,12/27/2020,2397,2572,,,,,,,
52,12/28/2020,2484,2795,,,,,,,
56,12/29/2020,2560,2886,,,,,,,
60,12/30/2020,2644,2861,,,,,,,
64,12/31/2020,2756,2536,,,,,,,
68,1/1/2021,2881,3010,,,,,,,
72,1/2/2021,3010,3145,,,,,,,
76,1/3/2021,3145,3351,,,,,,,
80,1/4/2021,3270,3587,,,,,,,
84,1/5/2021,3407,3697,,,,,,,
88,1/6/2021,3540,3967,,,,,,,
92,1/7/2021,3641,3849,,,,,,,
96,1/8/2021,3729,3549,,,,,,,
100,1/9/2021,3798,3718,,,,,,,
104,1/10/2021,3844,3571,,,,,,,
108,1/11/2021,3871,3894,,,,,,,
112,1/12/2021,3896,4134,,,,,,,
116,1/13/2021,3900,3840,,,,,,,
120,1/14/2021,3880,3678,,,,,,,
124,1/15/2021,3844,3295,,,,,,,
128,1/16/2021,3800,3569,,,,,,,
132,1/17/2021,3753,3424,,,,,,,
136,1/18/2021,3695,3711,,,,,,,
140,1/19/2021,3628,3768,,,,,,,
144,1/20/2021,3554,3679,,,,,,,
148,1/21/2021,3471,3237,,,,,,,
152,1/22/2021,3382,3016,,,,,,,
156,1/23/2021,3286,2780,,,,,,,
160,1/24/2021,3182,2824,,,,,,,
164,1/25/2021,3076,2648,,,,,,,
168,1/26/2021,2970,2799,,,,,,,
172,1/27/2021,2859,2742,,,,,,,
176,1/28/2021,2745,2719,,,,,,,
180,1/29/2021,2627,2379,,,,,,,
184,1/30/2021,2510,2193,,,,,,,
188,1/31/2021,2394,2183,,,,,,,
192,2/1/2021,2281,2347,,,,,,,
196,2/2/2021,2165,2222,,,,,,,
200,2/3/2021,2052,2096,,,,,,,
204,2/4/2021,1946,1907,,,,,,,
208,2/5/2021,1843,1757,,,,,,,
212,2/6/2021,1745,1679,,,,,,,
216,2/7/2021,1650,1675,,,,,,,
220,2/8/2021,1560,1739,,,,,,,
224,2/9/2021,1474,1531,,,,,,,
228,2/10/2021,1394,1535,,,,,,,
232,2/11/2021,1318,1440,,,,,,,
236,2/12/2021,1245,1318,,,,,,,
240,2/13/2021,1177,1240,,,,,,,
244,2/14/2021,1113,1364,,,,,,,
248,2/15/2021,1053,1322,,,,,,,
252,2/16/2021,1326,1311,,,,,,,
256,2/17/2021,1251,1233,,,,,,,
260,2/18/2021,1183,1149,,,,,,,
264,2/19/2021,1119,1068,,,,,,,
268,2/20/2021,1061,904,,,,,,,
272,2/21/2021,1008,1009,,,,,,,
276,2/22/2021,960,980,,,,,,,
280,2/23/2021,915,976,,,,,,,
284,2/24/2021,872,874,,,,,,,
288,2/25/2021,830,832,,,,,,,
292,2/26/2021,790,718,,,,,,,
296,2/27/2021,751,624,,,,,,,
300,2/28/2021,714,662,,,,,,,
304,3/1/2021,678,704,,,,,,,
308,3/2/2021,643,683,,,,,,,
312,3/3/2021,610,607,,,,,,,
316,3/4/2021,579,596,,,,,,,
320,3/5/2021,549,487,,,,,,,
324,3/6/2021,520,528,,,,,,,
328,3/7/2021,493,461,,,,,,,
332,3/8/2021,467,501,,,,,,,
336,3/9/2021,442,483,,,,,,,
340,3/10/2021,418,494,,,,,,,
344,3/11/2021,396,449,,,,,,,
348,3/12/2021,375,386,,,,,,,
352,3/13/2021,357,385,,,,,,,
356,3/14/2021,340,357,,,,,,,
360,3/15/2021,325,431,,,,,,,
364,3/16/2021,312,364,,,,,,,
368,3/17/2021,300,343,,,,,,,
372,3/18/2021,289,351,,,,,,,
376,3/19/2021,279,283,,,,,,,
380,3/20/2021,270,287,,,,,,,
384,3/21/2021,261,279,,,,,,,
388,3/22/2021,252,294,,,,,,,
392,3/23/2021,244,295,,,,,,,
396,3/24/2021,237,277,,,,,,,
400,3/25/2021,231,288,,,,,,,
404,3/26/2021,225,245,,,,,,,
408,3/27/2021,220,217,,,,,,,
412,3/28/2021,215,221,,,,,,,
416,3/29/2021,210,206,,,,,,,
420,3/30/2021,206,217,,,,,,,
424,3/31/2021,202,225,,,,,,,
428,4/1/2021,200,180,,,,,,,
432,4/2/2021,198,178,,,,,,,
436,4/3/2021,195,179,,,,,,,
440,4/4/2021,192,156,,,,,,,
444,4/5/2021,190,188,,,,,,,
448,4/6/2021,187,183,,,,,,,
452,4/7/2021,184,189,,,,,,,
456,4/8/2021,180,167,,,,,,,
460,4/9/2021,175,167,,,,,,,
464,4/10/2021,171,151,,,,,,,
468,4/11/2021,167,175,,,,,,,
472,4/12/2021,164,173,,,,,,,
476,4/13/2021,160,153,,,,,,,
480,4/14/2021,156,156,,,,,,,
484,4/15/2021,153,127,,,,,,,
488,4/16/2021,149,118,,,,,,,
492,4/17/2021,146,135,,,,,,,
496,4/18/2021,144,112,,,,,,,
500,4/19/2021,141,138,,,,,,,
504,4/20/2021,139,98,,,,,,,
508,4/21/2021,136,126,,,,,,,
512,4/22/2021,134,92,,,,,,,
516,4/23/2021,132,124,,,,,,,
520,4/24/2021,130,99,,,,,,,
524,4/25/2021,128,107,,,,,,,
528,4/26/2021,126,108,,,,,,,
532,4/27/2021,125,128,,,,,,,
536,4/28/2021,123,89,,,,,,,
540,4/29/2021,122,80,,,,,,,
544,4/30/2021,120,82,,,,,,,
548,5/1/2021,119,68,,,,,,,
552,5/2/2021,118,92,,,,,,,
556,5/3/2021,117,98,,,,,,,
560,5/4/2021,116,76,,,,,,,
564,5/5/2021,115,96,,,,,,,
568,5/6/2021,114,88,,,,,,,
572,5/7/2021,113,77,,,,,,,
576,5/8/2021,112,80,,,,,,,
580,5/9/2021,111,76,,,,,,,
584,5/10/2021,111,76,,,,,,,
588,5/11/2021,110,79,,,,,,,
592,5/12/2021,110,93,,,,,,,
596,5/13/2021,109,74,,,,,,,
600,5/14/2021,108,72,,,,,,,
604,5/15/2021,108,70,,,,,,,
608,5/16/2021,107,59,,,,,,,
612,5/17/2021,107,74,,,,,,,
616,5/18/2021,107,90,,,,,,,
620,5/19/2021,106,93,,,,,,,
624,5/20/2021,106,98,,,,,,,
628,5/21/2021,105,85,,,,,,,
632,5/22/2021,105,75,,,,,,,
636,5/23/2021,105,77,,,,,,,
640,5/24/2021,105,98,,,,,,,
644,5/25/2021,104,88,,,,,,,
648,5/26/2021,104,95,,,,,,,
652,5/27/2021,104,83,,,,,,,
656,5/28/2021,104,92,,,,,,,
660,5/29/2021,104,69,,,,,,,
664,5/30/2021,105,80,,,,,,,
668,5/31/2021,105,98,,,,,,,
672,6/1/2021,105,115,,,,,,,
676,6/2/2021,105,101,,,,,,,
680,6/3/2021,106,93,,,,,,,
684,6/4/2021,106,96,,,,,,,
688,6/5/2021,107,96,,,,,,,
692,6/6/2021,108,121,,,,,,,
696,6/7/2021,109,131,,,,,,,
700,6/8/2021,110,147,,,,,,,
704,6/9/2021,112,158,,,,,,,
708,6/10/2021,113,162,,,,,,,
712,6/11/2021,115,144,,,,,,,
716,6/12/2021,117,137,185.288,153.545,171.359,166.705,149.981,186.449,117
720,6/13/2021,119,187,181.989,169.006,197.751,173.303,171.975,199.391,119
724,6/14/2021,122,185,178.69,185.801,224.143,179.901,193.968,213.467,121
728,6/15/2021,124,,175.786,202.596,249.206,186.499,215.962,227.543,124
732,6/16/2021,127,,199.779,219.391,271.828,193.097,237.956,241.619,126
736,6/17/2021,129,,223.772,237.502,294.45,207.71,259.31,255.695,129
740,6/18/2021,132,,247.765,258.03,317.072,237.035,279.493,269.771,132
744,6/19/2021,135,,271.758,278.557,339.694,266.36,299.675,295.67,134
748,6/20/2021,138,,296.818,299.084,362.316,295.684,319.857,326.861,137
752,6/21/2021,141,,323.21,319.612,393.025,325.701,340.04,358.052,141
756,6/22/2021,144,,349.602,340.139,430.728,356.154,360.222,389.243,144
760,6/23/2021,147,,375.994,360.666,468.431,386.606,380.404,421.129,147
764,6/24/2021,151,,433.412,381.194,506.135,417.059,410.037,458.078,151
768,6/25/2021,154,,503.791,429.927,543.838,447.512,462.821,495.028,155
772,6/26/2021,158,,566.223,482.711,581.541,483.272,515.606,531.977,158
776,6/27/2021,162,,599.213,535.496,634.57,538.696,568.39,568.926,163
780,6/28/2021,166,,632.204,592.917,693.564,594.12,616.925,615.508,167
784,6/29/2021,170,,665.194,650.5,752.559,649.544,665.311,662.428,171
788,6/30/2021,174,,733.374,708.083,811.554,704.942,713.697,709.348,176
792,7/1/2021,178,,805.953,765.666,870.548,759.926,762.083,756.933,180
796,7/2/2021,183,,878.532,823.091,929.543,814.91,810.469,806.785,185
800,7/3/2021,187,,1012.023,880.274,988.537,869.894,858.854,856.637,190
804,7/4/2021,192,,1192.37,937.458,1037.146,924.878,907.24,906.489,195
808,7/5/2021,196,,1367.06,994.641,1080.334,978.084,955.626,952.407,200
812,7/6/2021,201,,1469.33,1051.824,1123.521,1008.537,1004.012,994.195,206
816,7/7/2021,206,,1571.6,1150.551,1166.708,1038.989,1052.398,1035.982,212
820,7/8/2021,211,,1673.87,1302.836,1211.878,1069.442,1087.651,1077.77,217
824,7/9/2021,216,,1833.945,1424.24,1277.859,1099.894,1122.841,1119.558,223
828,7/10/2021,221,,2013.413,1542.432,1343.839,1130.347,1158.031,1154.816,229
832,7/11/2021,226,,2140.726,1626.887,1409.82,1163.39,1193.22,1183.608,235
836,7/12/2021,231,,2242.525,1711.546,1488.391,1197.7,1228.41,1212.399,242
840,7/13/2021,236,,2344.324,1817.115,1570.867,1232.01,1263.6,1241.191,248
844,7/14/2021,241,,2407.032,1925.307,1653.343,1266.32,1270.251,1269.983,254
848,7/15/2021,246,,2457.617,2038.417,1724.424,1297.901,1268.052,1267.008,261
852,7/16/2021,251,,2508.202,2151.527,1780.979,1326.933,1265.852,1261.73,268
856,7/17/2021,256,,2558.788,2226.515,1837.534,1355.964,1263.653,1256.451,274
860,7/18/2021,261,,2609.373,2252.907,1886.826,1384.996,1261.454,1251.173,281
864,7/19/2021,266,,2603.245,2279.299,1929.713,1422.634,1264.697,1234.604,288
868,7/20/2021,271,,2580.913,2305.692,1972.6,1475.418,1269.496,1214.81,295
872,7/21/2021,276,,2558.581,2319.932,2004.229,1528.203,1274.294,1195.016,305
876,7/22/2021,281,,2536.249,2303.691,1992.918,1550.388,1279.093,1175.222,324
880,7/23/2021,285,,2513.917,2287.449,1981.607,1567.982,1284.265,1155.428,344
884,7/24/2021,290,,2482.952,2271.208,1971.313,1585.577,1290.863,1125.178,366
888,7/25/2021,294,,2437.708,2254.967,1963.395,1603.172,1297.461,1092.188,389
892,7/26/2021,311,,2392.464,2238.725,1955.477,1620.767,1304.06,1059.198,413
896,7/27/2021,329,,2316.478,2185.511,1947.56,1620.686,1310.658,1001.473,438
900,7/28/2021,348,,2205.63,2127.448,1930.271,1618.287,1314.323,915.698,464
904,7/29/2021,367,,2097.935,2057.674,1857.692,1615.887,1307.725,876.193,491
908,7/30/2021,387,,1995.144,1985.095,1775.551,1613.488,1301.127,847.77,519
912,7/31/2021,407,,1892.353,1912.517,1683.178,1598.582,1294.529,819.348,547
916,8/1/2021,427,,1789.562,1839.938,1601.642,1556.355,1287.931,790.925,576
920,8/2/2021,448,,1686.771,1767.359,1522.465,1514.127,1279.424,762.503,606
924,8/3/2021,469,,1583.98,1660.462,1433.471,1471.899,1264.762,731.334,636
928,8/4/2021,490,,1481.189,1546.095,1331.344,1430.092,1250.099,696.144,665
932,8/5/2021,510,,1378.398,1431.729,1162.196,1390.504,1235.437,660.955,695
936,8/6/2021,530,,1288.499,1319.891,1118.209,1350.915,1208.372,625.765,723
940,8/7/2021,550,,1211.617,1236.315,1074.221,1311.327,1168.783,590.575,751
944,8/8/2021,568,,1134.735,1152.74,1026.421,1227.624,1129.054,555.386,778
948,8/9/2021,585,,1057.853,1069.164,977.407,1132.956,1060.435,518.054,804
952,8/10/2021,601,,980.972,985.588,928.393,1027.387,991.815,470.548,828
956,8/11/2021,615,,904.09,905.413,862.709,921.818,923.195,424.444,850
960,8/12/2021,627,,827.208,857.027,794.089,816.248,854.575,391.454,870
964,8/13/2021,638,,750.326,808.641,733.001,771.267,785.955,358.463,887
968,8/14/2021,646,,673.444,760.255,674.126,736.957,717.335,325.473,902
972,8/15/2021,652,,596.562,711.869,615.251,702.647,666.783,306.763,914
976,8/16/2021,656,,566.355,665.438,556.376,668.337,621.539,292.247,923
980,8/17/2021,658,,539.02,634.647,497.501,628.519,576.295,277.731,930
984,8/18/2021,657,,511.685,603.856,451.691,586.291,521.27,263.215,933
988,8/19/2021,654,,484.35,573.065,427.938,544.064,464.716,248.7,934
992,8/20/2021,649,,457.016,542.274,404.185,501.836,408.161,234.184,931
996,8/21/2021,642,,429.681,511.483,380.431,464.881,388.03,219.668,926
1000,8/22/2021,633,,402.346,480.692,357.38,432.398,369.556,205.152,918
1004,8/23/2021,621,,375.011,449.901,336.852,399.915,351.081,196.08,907
1008,8/24/2021,609,,347.676,426.807,316.325,367.432,332.607,193.302,894
1012,8/25/2021,594,,320.341,408.177,295.798,334.95,314.837,190.524,878
1016,8/26/2021,578,,293.006,389.547,275.27,305.257,297.243,187.746,860
1020,8/27/2021,561,,271.256,370.917,254.743,292.689,279.648,184.967,841
1024,8/28/2021,544,,261.983,352.287,234.216,280.121,262.053,182.189,820
