,date,Warwick
0,01/06/2021,23472.02
1,02/06/2021,24922.51
2,03/06/2021,26856.49
3,03/06/2021,28951.63
4,04/06/2021,31207.94
5,05/06/2021,33464.25
6,06/06/2021,36042.89
7,07/06/2021,38621.53
8,08/06/2021,41361.33
9,08/06/2021,44101.14
10,09/06/2021,47324.44
11,10/06/2021,50386.57
12,11/06/2021,53448.71
13,12/06/2021,56833.17
14,12/06/2021,60217.63
15,13/06/2021,62957.44
16,14/06/2021,66825.4
17,15/06/2021,70048.69
18,16/06/2021,73916.65
19,17/06/2021,78026.36
20,17/06/2021,81974.9
21,18/06/2021,85842.86
22,19/06/2021,89710.82
23,20/06/2021,93498.19
24,21/06/2021,101250.2
25,22/06/2021,109587.8
26,21/06/2021,100777.5
27,22/06/2021,115739.0
28,22/06/2021,107439.0
29,23/06/2021,124844.8
30,23/06/2021,115174.9
31,24/06/2021,132795.6
32,24/06/2021,123394.3
33,25/06/2021,141176.2
34,25/06/2021,132365.8
35,26/06/2021,149771.6
36,26/06/2021,140961.3
37,27/06/2021,158796.9
38,26/06/2021,149664.2
39,27/06/2021,167607.2
40,27/06/2021,158474.5
41,28/06/2021,176417.6
42,28/06/2021,167177.4
43,29/06/2021,184798.1
44,29/06/2021,175665.5
45,30/06/2021,191083.6
46,30/06/2021,182703.0
47,01/07/2021,199544.7
48,30/06/2021,191083.6
49,02/07/2021,208865.4
50,01/07/2021,199464.1
51,02/07/2021,216279.0
52,02/07/2021,207200.1
53,03/07/2021,222510.7
54,03/07/2021,216064.1
55,04/07/2021,227265.1
56,05/07/2021,233067.0
57,06/07/2021,237660.2
58,06/07/2021,242978.7
59,07/07/2021,246040.8
60,08/07/2021,248458.3
61,09/07/2021,249908.8
62,10/07/2021,250231.1
63,11/07/2021,250069.9
64,11/07/2021,248780.6
65,12/07/2021,247330.1
66,13/07/2021,245879.7
67,14/07/2021,243945.7
68,15/07/2021,242011.7
69,16/07/2021,239755.4
70,16/07/2021,236532.1
